type,name,nav,ytd_return_pct,daily_change_pct
fund,瑞享1号,1.0796,+0.71%,+0.004%
fund,瑞享3号,0.6944,-15.23%,+0.040%
fund,配置1号,1.0894,+1.98%,+0.100%
fund,瑞臻1号,1.3759,-11.26%,-0.660%
fund,鑫盛1号,1.1749,+15.24%,+0.160%
fund,领航1号,1.0638,+6.38%,-0.710%
fund,锐进1号,1.0142,+1.42%,+0.210%
benchmark,沪深300 (自2026-02-27起),-,+1.01%,-
benchmark,中证500 (自2026-02-27起),-,-5.25%,-
