type,name,nav,ytd_return_pct,daily_change_pct
fund,瑞享1号,1.0788,+0.64%,+0.005%
fund,瑞享3号,0.6851,-16.37%,-0.070%
fund,配置1号,1.0807,+1.17%,+0.140%
fund,瑞臻1号,1.4107,-9.01%,+0.630%
fund,鑫盛1号,1.1607,+13.85%,+0.060%
fund,领航1号,1.0216,+2.16%,+0.250%
fund,锐进1号,1.0090,+0.90%,+0.140%
benchmark,沪深300 (自2026-02-27起),-,-1.37%,-
benchmark,中证500 (自2026-02-27起),-,-7.98%,-
