type,name,nav,ytd_return_pct,daily_change_pct
fund,瑞享1号,1.0790,+0.65%,+0.005%
fund,瑞享3号,0.6716,-18.02%,+0.480%
fund,配置1号,1.0896,+2.00%,+0.410%
fund,瑞臻1号,1.3487,-13.01%,-0.320%
fund,鑫盛1号,1.1734,+15.09%,+0.470%
fund,领航1号,1.0634,+6.33%,+2.330%
fund,锐进1号,1.0138,+1.37%,+0.220%
benchmark,沪深300 (自2026-02-27起),-,+0.55%,-
benchmark,中证500 (自2026-02-27起),-,-5.52%,-
