type,name,nav,ytd_return_pct,daily_change_pct
fund,瑞享1号,1.0797,+0.72%,+0.005%
fund,瑞享3号,0.7011,-14.41%,+3.490%
fund,配置1号,1.1028,+3.23%,+0.160%
fund,瑞臻1号,1.3741,-11.37%,+0.550%
fund,鑫盛1号,1.1899,+16.71%,+0.190%
fund,领航1号,1.0972,+9.71%,+0.070%
fund,锐进1号,1.0243,+2.43%,+0.200%
benchmark,沪深300 (自2026-02-27起),-,+2.05%,-
benchmark,中证500 (自2026-02-27起),-,-3.57%,-
