type,name,nav,ytd_return_pct,daily_change_pct
fund,瑞享1号,1.0793,+0.68%,+0.005%
fund,瑞享3号,0.7218,-11.89%,-3.920%
fund,配置1号,1.0844,+1.51%,-0.650%
fund,瑞臻1号,1.4173,-8.58%,-1.990%
fund,鑫盛1号,1.1689,+14.65%,-0.650%
fund,领航1号,1.0609,+6.09%,-1.970%
fund,锐进1号,1.0081,+0.80%,-0.570%
benchmark,沪深300 (自2026-02-27起),-,+1.61%,-
benchmark,中证500 (自2026-02-27起),-,-4.20%,-
