type,name,nav,ytd_return_pct,daily_change_pct
fund,锐进1号,1.0276,+2.76%,+0.340%
fund,瑞享1号,1.0800,+0.75%,+0.005%
fund,瑞享3号,0.7101,-13.33%,+1.290%
fund,配置1号,1.1096,+3.88%,+0.640%
fund,瑞臻1号,1.3750,-11.31%,+0.090%
fund,鑫盛1号,1.1994,+17.64%,+0.800%
fund,领航1号,1.1419,+14.19%,+4.100%
benchmark,沪深300 (自2026-02-27起),-,+3.53%,-
benchmark,中证500 (自2026-02-27起),-,-0.81%,-
