type,name,nav,ytd_return_pct,daily_change_pct
fund,瑞享1号,1.0789,+0.64%,+0.005%
fund,瑞享3号,0.6764,-17.43%,-1.280%
fund,配置1号,1.0849,+1.56%,+0.390%
fund,瑞臻1号,1.3913,-10.26%,-1.380%
fund,鑫盛1号,1.1666,+14.43%,+0.510%
fund,领航1号,1.0385,+3.85%,+1.650%
fund,锐进1号,1.0115,+1.15%,+0.250%
benchmark,沪深300 (自2026-02-27起),-,-0.20%,-
benchmark,中证500 (自2026-02-27起),-,-6.58%,-
