type,name,nav,ytd_return_pct,daily_change_pct
fund,瑞享1号,1.0796,+0.71%,+0.005%
fund,瑞享3号,0.6775,-17.30%,-2.440%
fund,配置1号,1.1011,+3.07%,+1.070%
fund,瑞臻1号,1.3666,-11.86%,-0.680%
fund,鑫盛1号,1.1877,+16.49%,+1.090%
fund,领航1号,1.0964,+9.64%,+3.060%
fund,锐进1号,1.0223,+2.23%,+0.800%
benchmark,沪深300 (自2026-02-27起),-,+2.12%,-
benchmark,中证500 (自2026-02-27起),-,-3.65%,-
