type,name,nav,ytd_return_pct,daily_change_pct
fund,瑞享1号,1.0793,+0.68%,+0.005%
fund,瑞享3号,0.7513,-8.30%,+1.470%
fund,配置1号,1.0915,+2.18%,+0.480%
fund,瑞臻1号,1.4461,-6.73%,-0.750%
fund,鑫盛1号,1.1765,+15.40%,+0.520%
fund,领航1号,1.0822,+8.22%,+1.400%
fund,锐进1号,1.0139,+1.39%,+0.310%
benchmark,沪深300 (自2026-02-27起),-,+1.89%,-
benchmark,中证500 (自2026-02-27起),-,-3.26%,-
