type,name,nav,ytd_return_pct,daily_change_pct
fund,锐进1号,1.0323,+3.23%,+1.030%
fund,瑞享1号,1.0802,+0.77%,+0.005%
fund,瑞享3号,0.7172,-12.46%,-1.850%
fund,配置1号,1.1177,+4.63%,+1.200%
fund,瑞臻1号,1.4010,-9.64%,+0.250%
fund,鑫盛1号,1.2085,+18.53%,+1.200%
fund,领航1号,1.1765,+17.65%,+2.630%
benchmark,沪深300 (自2026-02-27起),-,+5.12%,-
benchmark,中证500 (自2026-02-27起),-,+2.09%,-
