type,name,nav,ytd_return_pct,daily_change_pct
fund,锐进1号,1.0421,+4.21%,+0.830%
fund,瑞享1号,1.0803,+0.78%,+0.005%
fund,瑞享3号,0.7150,-12.72%,+0.080%
fund,配置1号,1.1292,+5.70%,+0.990%
fund,瑞臻1号,1.3709,-11.58%,+0.120%
fund,鑫盛1号,1.2221,+19.87%,+1.020%
fund,领航1号,1.1915,+19.15%,+1.860%
benchmark,沪深300 (自2026-02-27起),-,+6.11%,-
benchmark,中证500 (自2026-02-27起),-,+3.00%,-
