type,name,nav,ytd_return_pct,daily_change_pct
fund,锐进1号,1.0335,+3.34%,+0.120%
fund,瑞享1号,1.0803,+0.77%,+0.005%
fund,瑞享3号,0.7144,-12.79%,-0.380%
fund,配置1号,1.1181,+4.67%,+0.040%
fund,瑞臻1号,1.3693,-11.68%,-2.260%
fund,鑫盛1号,1.2098,+18.67%,+0.110%
fund,领航1号,1.1697,+16.97%,-0.580%
benchmark,沪深300 (自2026-02-27起),-,+5.04%,-
benchmark,中证500 (自2026-02-27起),-,+1.47%,-
